Trial,Species,Dosage Level,Tank,Standard length,Weight
Outdoor,YEP,0 mg/kg/d,1,86,13.3
Outdoor,YEP,0 mg/kg/d,1,81,11.7
Outdoor,YEP,0 mg/kg/d,1,81,10.4
Outdoor,YEP,0 mg/kg/d,1,68,7.6
Outdoor,YEP,0 mg/kg/d,1,74,10.8
Outdoor,YEP,0 mg/kg/d,1,88,16.2
Outdoor,BLG,0 mg/kg/d,2,88,17.1
Outdoor,BLG,0 mg/kg/d,2,86.5,39
Outdoor,BLG,0 mg/kg/d,2,62,12.3
Outdoor,BLG,0 mg/kg/d,2,95,38.5
Outdoor,BLG,0 mg/kg/d,2,96,46.7
Outdoor,BLG,0 mg/kg/d,2,83,29.5
Outdoor,BLG,0 mg/kg/d,2,81,24.6
Outdoor,BLG,0 mg/kg/d,2,78,26
Outdoor,BLG,0 mg/kg/d,2,75,21.8
Outdoor,BLG,0 mg/kg/d,2,76,23.2
Outdoor,BLG,0 mg/kg/d,2,73,19.3
Outdoor,BLG,0 mg/kg/d,2,76,16.8
Outdoor,BLG,0 mg/kg/d,2,72,17
Outdoor,BLG,0 mg/kg/d,2,73,21.4
Outdoor,BLG,0 mg/kg/d,2,76,21.3
Outdoor,BLG,0 mg/kg/d,2,78,20.8
Outdoor,BLG,0 mg/kg/d,2,81,23.2
Outdoor,BLG,0 mg/kg/d,2,58,12.5
Outdoor,BLG,0 mg/kg/d,2,73,15.9
Outdoor,CCP,0 mg/kg/d,2,125,73.2
Outdoor,CCP,0 mg/kg/d,2,386,1495.9
Outdoor,CCP,0 mg/kg/d,2,308,988
Outdoor,CCP,0 mg/kg/d,2,265,625.3
Outdoor,CCP,0 mg/kg/d,2,376,1618.5
Outdoor,CCP,0 mg/kg/d,2,276,716.4
Outdoor,CCP,0 mg/kg/d,2,274,704.2
Outdoor,CCP,0 mg/kg/d,2,421.6,2252.7
Outdoor,CCP,0 mg/kg/d,2,269,698.2
Outdoor,CCP,0 mg/kg/d,2,355.6,1527.5
Outdoor,CCP,0 mg/kg/d,2,279,754.3
Outdoor,CCP,0 mg/kg/d,2,119,59.8
Outdoor,CCP,0 mg/kg/d,2,110,53.3
Outdoor,CCP,0 mg/kg/d,2,118,74.3
Outdoor,CCP,0 mg/kg/d,2,116,72.3
Outdoor,CCP,0 mg/kg/d,2,109,46.4
Outdoor,CCP,0 mg/kg/d,2,104,43.9
Outdoor,CCP,0 mg/kg/d,2,104,42.1
Outdoor,CCP,0 mg/kg/d,2,98,38.8
Outdoor,YEP,0 mg/kg/d,2,90,21.7
Outdoor,YEP,0 mg/kg/d,2,82,13.4
Outdoor,YEP,0 mg/kg/d,2,81,17.4
Outdoor,YEP,0 mg/kg/d,2,95,19.9
Outdoor,YEP,0 mg/kg/d,2,79,11.5
Outdoor,YEP,0 mg/kg/d,2,84,17.1
Outdoor,YEP,0 mg/kg/d,2,79,15.4
Outdoor,YEP,0 mg/kg/d,2,78,10
Outdoor,YEP,0 mg/kg/d,2,68,7.1
Outdoor,YEP,0 mg/kg/d,2,73,9.5
Outdoor,YEP,0 mg/kg/d,2,72,8.5
Outdoor,YEP,0 mg/kg/d,2,76,12.2
Outdoor,YEP,0 mg/kg/d,2,60,6.5
Outdoor,YEP,0 mg/kg/d,2,68,7.9
Outdoor,YEP,0 mg/kg/d,2,85,14.7
Outdoor,YEP,0 mg/kg/d,2,70,8.8
Outdoor,YEP,0 mg/kg/d,2,73,9.5
Outdoor,YEP,0 mg/kg/d,2,64,7
Outdoor,YEP,0 mg/kg/d,2,71,8.5
Outdoor,YEP,0 mg/kg/d,2,70,8
