Trial,Species,Dosage Level,Tank,Standard length,Weight
Outdoor,YEP,28 mg/kg/d,5,97,8.96
Outdoor,YEP,28 mg/kg/d,5,92,7.46
Outdoor,YEP,28 mg/kg/d,5,99,10.55
Outdoor,YEP,28 mg/kg/d,5,95,8.23
Outdoor,YEP,28 mg/kg/d,5,105,13.74
Outdoor,YEP,28 mg/kg/d,5,110,14.08
Outdoor,YEP,28 mg/kg/d,5,94,7.58
Outdoor,YEP,28 mg/kg/d,5,105,10.45
Outdoor,YEP,28 mg/kg/d,5,95,7.25
Outdoor,YEP,28 mg/kg/d,5,111,16.28
Outdoor,YEP,28 mg/kg/d,5,115,16.15
Outdoor,YEP,28 mg/kg/d,5,104,10.17
Outdoor,YEP,28 mg/kg/d,5,101,10.67
Outdoor,YEP,28 mg/kg/d,5,96,9.31
Outdoor,YEP,28 mg/kg/d,5,99,10.49
Outdoor,YEP,28 mg/kg/d,5,98,10.6
Outdoor,BLG,28 mg/kg/d,6,104,48.2
Outdoor,BLG,28 mg/kg/d,6,120,65.87
Outdoor,BLG,28 mg/kg/d,6,110,37.31
Outdoor,BLG,28 mg/kg/d,6,90,27.04
Outdoor,BLG,28 mg/kg/d,6,85,30.01
Outdoor,BLG,28 mg/kg/d,6,110,55.26
Outdoor,BLG,28 mg/kg/d,6,100,33.69
Outdoor,BLG,28 mg/kg/d,6,90,23.66
Outdoor,BLG,28 mg/kg/d,6,85,19.73
Outdoor,BLG,28 mg/kg/d,6,90,24.13
Outdoor,BLG,28 mg/kg/d,6,92,25.63
Outdoor,BLG,28 mg/kg/d,6,90,20.81
Outdoor,BLG,28 mg/kg/d,6,90,20.32
Outdoor,BLG,28 mg/kg/d,6,95,34.41
Outdoor,BLG,28 mg/kg/d,6,95,26.55
Outdoor,BLG,28 mg/kg/d,6,80,16.86
Outdoor,BLG,28 mg/kg/d,6,75,13.73
Outdoor,BLG,28 mg/kg/d,6,70,10.23
Outdoor,CCP,28 mg/kg/d,6,482.6,2586.7
Outdoor,CCP,28 mg/kg/d,6,157.6,1032
Outdoor,CCP,28 mg/kg/d,6,480,2965.4
Outdoor,CCP,28 mg/kg/d,6,120,66.81
Outdoor,CCP,28 mg/kg/d,6,142,105.95
Outdoor,CCP,28 mg/kg/d,6,135,80.08
Outdoor,CCP,28 mg/kg/d,6,125,69.22
Outdoor,CCP,28 mg/kg/d,6,125,68.95
Outdoor,CCP,28 mg/kg/d,6,125,63.5
Outdoor,CCP,28 mg/kg/d,6,130,57.39
Outdoor,CCP,28 mg/kg/d,6,110,41.42
Outdoor,CCP,28 mg/kg/d,6,145,104.26
Outdoor,CCP,28 mg/kg/d,6,269.2,565.7
Outdoor,CCP,28 mg/kg/d,6,419.1,1998.4
Outdoor,CCP,28 mg/kg/d,6,393.7,1613.7
Outdoor,CCP,28 mg/kg/d,6,447,2436.9
Outdoor,CCP,28 mg/kg/d,6,426.7,2135.5
Outdoor,CCP,28 mg/kg/d,6,309.9,847.5
Outdoor,CCP,28 mg/kg/d,6,287,694.2
Outdoor,YEP,28 mg/kg/d,6,125,32.81
Outdoor,YEP,28 mg/kg/d,6,100,17.53
Outdoor,YEP,28 mg/kg/d,6,111,25.55
Outdoor,YEP,28 mg/kg/d,6,111,23.24
Outdoor,YEP,28 mg/kg/d,6,105,23.13
Outdoor,YEP,28 mg/kg/d,6,115,24.41
Outdoor,YEP,28 mg/kg/d,6,90,12.96
Outdoor,YEP,28 mg/kg/d,6,90,11.22
Outdoor,YEP,28 mg/kg/d,6,85,10.18
Outdoor,YEP,28 mg/kg/d,6,105,17.16
Outdoor,YEP,28 mg/kg/d,6,90,11.62
Outdoor,YEP,28 mg/kg/d,6,85,9.9
Outdoor,YEP,28 mg/kg/d,6,90,12.71
Outdoor,YEP,28 mg/kg/d,6,90,10.5
Outdoor,YEP,28 mg/kg/d,6,80,7.48
Outdoor,YEP,28 mg/kg/d,6,95,16.2
Outdoor,YEP,28 mg/kg/d,6,85,8.65
Outdoor,YEP,28 mg/kg/d,6,85,9.76
Outdoor,YEP,28 mg/kg/d,6,85,9.07
Outdoor,YEP,28 mg/kg/d,6,75,7.39
Gavage,CAP,control,1,127,61.95
Gavage,CAP,control,1,125,71.01
Gavage,CAP,control,1,124,70.31
Gavage,CAP,control,1,121,62.71
Gavage,CAP,control,1,117,55.51
